Measured 10/250; eligible under Strict: 10; elapsed 0.7s
Measured 20/250; eligible under Strict: 20; elapsed 0.7s
Measured 30/250; eligible under Strict: 30; elapsed 0.7s
Measured 40/250; eligible under Strict: 40; elapsed 0.7s
Measured 50/250; eligible under Strict: 50; elapsed 0.7s
Measured 60/250; eligible under Strict: 60; elapsed 0.7s
Measured 70/250; eligible under Strict: 70; elapsed 0.7s
Measured 80/250; eligible under Strict: 80; elapsed 0.7s
Measured 90/250; eligible under Strict: 90; elapsed 0.7s
Measured 100/250; eligible under Strict: 100; elapsed 0.7s
Measured 110/250; eligible under Strict: 110; elapsed 0.7s
Measured 120/250; eligible under Strict: 120; elapsed 0.7s
Measured 130/250; eligible under Strict: 130; elapsed 0.7s
Measured 140/250; eligible under Strict: 140; elapsed 0.7s
Measured 150/250; eligible under Strict: 150; elapsed 0.7s
Measured 160/250; eligible under Strict: 160; elapsed 0.7s
Measured 170/250; eligible under Strict: 170; elapsed 0.7s
Measured 180/250; eligible under Strict: 180; elapsed 0.7s
Measured 190/250; eligible under Strict: 190; elapsed 0.7s
Measured 200/250; eligible under Strict: 200; elapsed 0.8s
Measured 210/250; eligible under Strict: 210; elapsed 0.8s
Measured 220/250; eligible under Strict: 220; elapsed 0.8s
Measured 230/250; eligible under Strict: 230; elapsed 0.8s
Measured 240/250; eligible under Strict: 240; elapsed 0.8s
Measured 250/250; eligible under Strict: 250; elapsed 0.8s
Wrote D:\source\Sezika\docs\evidence\laya-coverage-2026-09-25\paws-250.v2.json; eligible 250/250, strict 250, compatible 250; original lengths 250/250
