Measured 10/324; eligible under Strict: 6; elapsed 0.7s
Measured 20/324; eligible under Strict: 14; elapsed 0.7s
Measured 30/324; eligible under Strict: 22; elapsed 0.7s
Measured 40/324; eligible under Strict: 32; elapsed 0.8s
Measured 50/324; eligible under Strict: 38; elapsed 0.8s
Measured 60/324; eligible under Strict: 48; elapsed 0.8s
Measured 70/324; eligible under Strict: 58; elapsed 0.8s
Measured 80/324; eligible under Strict: 68; elapsed 0.8s
Measured 90/324; eligible under Strict: 78; elapsed 0.8s
Measured 100/324; eligible under Strict: 88; elapsed 0.9s
Measured 110/324; eligible under Strict: 98; elapsed 0.9s
Measured 120/324; eligible under Strict: 104; elapsed 0.9s
Measured 130/324; eligible under Strict: 114; elapsed 0.9s
Measured 140/324; eligible under Strict: 124; elapsed 0.9s
Measured 150/324; eligible under Strict: 134; elapsed 0.9s
Measured 160/324; eligible under Strict: 144; elapsed 0.9s
Measured 170/324; eligible under Strict: 154; elapsed 0.9s
Measured 180/324; eligible under Strict: 164; elapsed 1.0s
Measured 190/324; eligible under Strict: 174; elapsed 1.0s
Measured 200/324; eligible under Strict: 184; elapsed 1.0s
Measured 210/324; eligible under Strict: 192; elapsed 1.0s
Measured 220/324; eligible under Strict: 202; elapsed 1.0s
Measured 230/324; eligible under Strict: 212; elapsed 1.0s
Measured 240/324; eligible under Strict: 222; elapsed 1.0s
Measured 250/324; eligible under Strict: 232; elapsed 1.1s
Measured 260/324; eligible under Strict: 242; elapsed 1.1s
Measured 270/324; eligible under Strict: 252; elapsed 1.1s
Measured 280/324; eligible under Strict: 262; elapsed 1.1s
Measured 290/324; eligible under Strict: 272; elapsed 1.1s
Measured 300/324; eligible under Strict: 282; elapsed 1.1s
Measured 310/324; eligible under Strict: 292; elapsed 1.1s
Measured 320/324; eligible under Strict: 302; elapsed 1.2s
Measured 324/324; eligible under Strict: 306; elapsed 1.2s
Wrote D:\source\Sezika\docs\evidence\laya-coverage-2026-09-25\nimble-324.v2.json; eligible 306/324, strict 306, compatible 324; original lengths 324/324
