Evaluated 10/324 rows; correct 4, failed 0; elapsed 13.9s
Evaluated 20/324 rows; correct 9, failed 0; elapsed 20.2s
Evaluated 30/324 rows; correct 13, failed 0; elapsed 29.9s
Evaluated 40/324 rows; correct 17, failed 0; elapsed 37.9s
Evaluated 50/324 rows; correct 20, failed 0; elapsed 46.2s
Evaluated 60/324 rows; correct 25, failed 0; elapsed 54.6s
Evaluated 70/324 rows; correct 27, failed 0; elapsed 64.0s
Evaluated 80/324 rows; correct 30, failed 0; elapsed 72.5s
Evaluated 90/324 rows; correct 33, failed 0; elapsed 82.4s
Evaluated 100/324 rows; correct 37, failed 0; elapsed 91.8s
Evaluated 110/324 rows; correct 41, failed 0; elapsed 100.4s
Evaluated 120/324 rows; correct 45, failed 0; elapsed 107.8s
Evaluated 130/324 rows; correct 49, failed 0; elapsed 113.7s
Evaluated 140/324 rows; correct 54, failed 0; elapsed 123.7s
Evaluated 150/324 rows; correct 59, failed 0; elapsed 131.3s
Evaluated 160/324 rows; correct 64, failed 0; elapsed 137.3s
Evaluated 170/324 rows; correct 67, failed 0; elapsed 146.1s
Evaluated 180/324 rows; correct 72, failed 0; elapsed 154.1s
Evaluated 190/324 rows; correct 77, failed 0; elapsed 161.6s
Evaluated 200/324 rows; correct 82, failed 0; elapsed 171.2s
Evaluated 210/324 rows; correct 86, failed 0; elapsed 180.3s
Evaluated 220/324 rows; correct 91, failed 0; elapsed 191.9s
Evaluated 230/324 rows; correct 96, failed 0; elapsed 203.4s
Evaluated 240/324 rows; correct 101, failed 0; elapsed 215.6s
Evaluated 250/324 rows; correct 106, failed 0; elapsed 223.1s
Evaluated 260/324 rows; correct 110, failed 0; elapsed 233.4s
Evaluated 270/324 rows; correct 115, failed 0; elapsed 243.3s
Evaluated 280/324 rows; correct 120, failed 0; elapsed 252.8s
Evaluated 290/324 rows; correct 125, failed 0; elapsed 258.7s
Evaluated 300/324 rows; correct 130, failed 0; elapsed 264.5s
Evaluated 310/324 rows; correct 133, failed 0; elapsed 273.8s
Evaluated 320/324 rows; correct 136, failed 0; elapsed 283.4s
Evaluated 324/324 rows; correct 137, failed 0; elapsed 287.3s
Wrote D:\source\Sezika\.artifacts\s4-quality-20260926\nimble-compatible-324.json: 137/324 answered correctly; coverage 324/324
