Evaluated 10/250 rows; correct 7, failed 0; elapsed 5.9s
Evaluated 20/250 rows; correct 13, failed 0; elapsed 7.8s
Evaluated 30/250 rows; correct 20, failed 0; elapsed 9.8s
Evaluated 40/250 rows; correct 28, failed 0; elapsed 11.8s
Evaluated 50/250 rows; correct 35, failed 0; elapsed 13.9s
Evaluated 60/250 rows; correct 42, failed 0; elapsed 16.2s
Evaluated 70/250 rows; correct 49, failed 0; elapsed 18.4s
Evaluated 80/250 rows; correct 57, failed 0; elapsed 20.5s
Evaluated 90/250 rows; correct 63, failed 0; elapsed 22.6s
Evaluated 100/250 rows; correct 68, failed 0; elapsed 24.8s
Evaluated 110/250 rows; correct 74, failed 0; elapsed 27.0s
Evaluated 120/250 rows; correct 81, failed 0; elapsed 29.1s
Evaluated 130/250 rows; correct 87, failed 0; elapsed 31.2s
Evaluated 140/250 rows; correct 96, failed 0; elapsed 33.4s
Evaluated 150/250 rows; correct 103, failed 0; elapsed 35.5s
Evaluated 160/250 rows; correct 109, failed 0; elapsed 37.8s
Evaluated 170/250 rows; correct 115, failed 0; elapsed 39.8s
Evaluated 180/250 rows; correct 119, failed 0; elapsed 42.0s
Evaluated 190/250 rows; correct 126, failed 0; elapsed 44.7s
Evaluated 200/250 rows; correct 132, failed 0; elapsed 47.0s
Evaluated 210/250 rows; correct 139, failed 0; elapsed 49.5s
Evaluated 220/250 rows; correct 146, failed 0; elapsed 51.6s
Evaluated 230/250 rows; correct 156, failed 0; elapsed 53.9s
Evaluated 240/250 rows; correct 162, failed 0; elapsed 56.1s
Evaluated 250/250 rows; correct 170, failed 0; elapsed 58.4s
Wrote D:\source\Sezika\.artifacts\s4-quality-20260926\paws-strict-250.json: 170/250 answered correctly; coverage 250/250
