Evaluated 10/324 rows; correct 3, failed 4; elapsed 8.8s
Evaluated 20/324 rows; correct 7, failed 6; elapsed 14.4s
Evaluated 30/324 rows; correct 11, failed 8; elapsed 24.0s
Evaluated 40/324 rows; correct 15, failed 8; elapsed 34.4s
Evaluated 50/324 rows; correct 18, failed 12; elapsed 39.6s
Evaluated 60/324 rows; correct 23, failed 12; elapsed 50.2s
Evaluated 70/324 rows; correct 25, failed 12; elapsed 61.8s
Evaluated 80/324 rows; correct 28, failed 12; elapsed 71.9s
Evaluated 90/324 rows; correct 31, failed 12; elapsed 83.3s
Evaluated 100/324 rows; correct 35, failed 12; elapsed 94.3s
Evaluated 110/324 rows; correct 39, failed 12; elapsed 104.3s
Evaluated 120/324 rows; correct 42, failed 16; elapsed 108.3s
Evaluated 130/324 rows; correct 46, failed 16; elapsed 115.1s
Evaluated 140/324 rows; correct 51, failed 16; elapsed 126.6s
Evaluated 150/324 rows; correct 56, failed 16; elapsed 135.1s
Evaluated 160/324 rows; correct 61, failed 16; elapsed 143.1s
Evaluated 170/324 rows; correct 64, failed 16; elapsed 152.5s
Evaluated 180/324 rows; correct 69, failed 16; elapsed 161.3s
Evaluated 190/324 rows; correct 74, failed 16; elapsed 169.6s
Evaluated 200/324 rows; correct 79, failed 16; elapsed 179.8s
Evaluated 210/324 rows; correct 82, failed 18; elapsed 187.0s
Evaluated 220/324 rows; correct 87, failed 18; elapsed 199.4s
Evaluated 230/324 rows; correct 92, failed 18; elapsed 211.5s
Evaluated 240/324 rows; correct 97, failed 18; elapsed 224.3s
Evaluated 250/324 rows; correct 102, failed 18; elapsed 232.3s
Evaluated 260/324 rows; correct 106, failed 18; elapsed 243.1s
Evaluated 270/324 rows; correct 111, failed 18; elapsed 253.7s
Evaluated 280/324 rows; correct 116, failed 18; elapsed 263.8s
Evaluated 290/324 rows; correct 121, failed 18; elapsed 270.1s
Evaluated 300/324 rows; correct 126, failed 18; elapsed 276.2s
Evaluated 310/324 rows; correct 129, failed 18; elapsed 286.1s
Evaluated 320/324 rows; correct 132, failed 18; elapsed 296.3s
Evaluated 324/324 rows; correct 133, failed 18; elapsed 300.5s
Wrote D:\source\Sezika\.artifacts\s4-quality-20260926\nimble-strict-324.json: 133/306 answered correctly; coverage 306/324
